source,target,weight
50,21847,0.2704564929008484
50,3636,0.26021814346313477
50,15111,0.25206297636032104
50,4555,0.2523452639579773
50,14978,0.33168190717697144
50,17358,0.2786991596221924
64,7592,0.2738932967185974
64,20297,0.2647849917411804
64,8533,0.26499104499816895
64,18644,0.2575894594192505
65,10027,0.3126955032348633
65,1635,0.28462034463882446
65,18321,0.2791961431503296
65,22429,0.2761220932006836
65,7440,0.27583760023117065
65,11522,0.2722622752189636
65,21702,0.26389700174331665
65,13984,0.26078301668167114
65,14810,0.2565358281135559
65,21235,0.25402337312698364
65,612,0.2530861496925354
65,4320,0.2527713179588318
65,13520,0.2517327070236206
65,11637,0.3025319576263428
66,20216,0.3241215944290161
66,11209,0.27361899614334106
67,9318,0.2938159704208374
67,4723,0.2875332832336426
67,9792,0.28312575817108154
67,16855,0.2729308009147644
67,3040,0.2621232867240906
67,978,0.2512683868408203
67,14785,0.25097715854644775
67,2552,0.26009392738342285
67,2699,0.3162931203842163
67,7565,0.2546185255050659
67,8376,0.2699846029281616
67,10156,0.35332798957824707
67,12218,0.29218536615371704
67,14412,0.27634871006011963
67,16271,0.268906831741333
67,20078,0.2726083993911743
67,20082,0.3171497583389282
67,20301,0.27395761013031006
67,20347,0.30446892976760864
69,13044,0.32657456398010254
69,13904,0.25561052560806274
70,4854,0.2578110098838806
70,1598,0.2551514506340027
71,7545,0.3052123785018921
71,18206,0.2638634443283081
71,2640,0.25566017627716064
73,7029,0.3309352993965149
73,13878,0.29148638248443604
73,23008,0.2704125642776489
73,9992,0.25260305404663086
73,18732,0.25027793645858765
73,18615,0.29851579666137695
73,23560,0.2961251735687256
74,4513,0.26096755266189575
75,21284,0.42765527963638306
75,18727,0.3115123510360718
75,15961,0.27408039569854736
75,692,0.27195191383361816
75,15882,0.2684767246246338
75,10028,0.26563501358032227
75,10017,0.2647647261619568
75,12467,0.25665283203125
75,4763,0.25485384464263916
75,1884,0.2845638394355774
75,9741,0.25734955072402954
75,14973,0.2598228454589844
75,15017,0.26845645904541016
75,15868,0.30350160598754883
75,22633,0.28288066387176514
76,3040,0.28080010414123535
77,9421,0.3468558192253113
77,7777,0.32808756828308105
77,18603,0.3095778226852417
77,23275,0.30796754360198975
77,13537,0.28081971406936646
77,15417,0.27374231815338135
77,20805,0.27225977182388306
77,22093,0.26660287380218506
77,7373,0.261457622051239
77,1126,0.2602810263633728
77,11565,0.2598174810409546
77,16546,0.25356781482696533
77,3994,0.2524411082267761
77,23674,0.2512397766113281
77,1652,0.2522440552711487
77,3065,0.2808162569999695
77,3877,0.26638150215148926
77,4582,0.2527797222137451
77,5180,0.2543303966522217
77,8187,0.2546985149383545
78,21208,0.46319907903671265
78,13243,0.40371084213256836
78,20504,0.35212600231170654
78,6573,0.32029813528060913
78,19957,0.29406052827835083
78,1937,0.2929033041000366
78,171,0.289895236492157
78,10453,0.2895129323005676
78,22619,0.28859150409698486
78,12062,0.2852274179458618
78,16447,0.27958428859710693
78,23250,0.2783738374710083
78,23389,0.2730349898338318
78,10862,0.2681872844696045
